,player,info_state,actions
"Current player: 0
Round: 3
Coin Player Choices: 4 5 
Estimator Guesses: 3 3 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 4 5 
Estimator Guesses: 3 3 ","{'Player 0 chose: 5': 0.5, 'Player 0 chose: 0': 0.5}"
"Current player: 1
Round: 3
Estimator Guesses: 3 3 
Coin Player Choices: 4 5 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 3 3 
Coin Player Choices: 4 5 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 4 5 
Estimator Guesses: 3 4 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 4 5 
Estimator Guesses: 3 4 ","{'Player 0 chose: 5': 0.5, 'Player 0 chose: 0': 0.5}"
"Current player: 1
Round: 3
Estimator Guesses: 3 4 
Coin Player Choices: 4 5 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 3 4 
Coin Player Choices: 4 5 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 2
Coin Player Choices: 4 
Estimator Guesses: 5 _depth_2",0,"Current player: 0
Round: 2
Coin Player Choices: 4 
Estimator Guesses: 5 ","{'Player 0 chose: 5': 0.7607667703602554, 'Player 0 chose: 0': 0.23923322963974467}"
"Current player: 1
Round: 2
Estimator Guesses: 5 
Coin Player Choices: 4 _depth_3",1,"Current player: 1
Round: 2
Estimator Guesses: 5 
Coin Player Choices: 4 ","{'Player 1 chose: 5': 0.5750818868820571, 'Player 1 chose: 4': 0.06575301768811534, 'Player 1 chose: 3': 0.06575301768811534, 'Player 1 chose: 2': 0.06575301768811534, 'Player 1 chose: 1': 0.06575301768811534, 'Player 1 chose: 0': 0.16190604236548148}"
"Current player: 0
Round: 3
Coin Player Choices: 4 0 
Estimator Guesses: 5 1 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 4 0 
Estimator Guesses: 5 1 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 5 1 
Coin Player Choices: 4 0 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 1 
Coin Player Choices: 4 0 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 4 0 
Estimator Guesses: 5 2 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 4 0 
Estimator Guesses: 5 2 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 5 2 
Coin Player Choices: 4 0 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 2 
Coin Player Choices: 4 0 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 4 0 
Estimator Guesses: 5 3 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 4 0 
Estimator Guesses: 5 3 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 5 3 
Coin Player Choices: 4 0 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 3 
Coin Player Choices: 4 0 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 4 0 
Estimator Guesses: 5 4 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 4 0 
Estimator Guesses: 5 4 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 5 4 
Coin Player Choices: 4 0 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 4 
Coin Player Choices: 4 0 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 4 0 
Estimator Guesses: 5 5 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 4 0 
Estimator Guesses: 5 5 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 5 5 
Coin Player Choices: 4 0 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 5 
Coin Player Choices: 4 0 ","{'Player 1 chose: 5': 0.9047193405727967, 'Player 1 chose: 4': 0.019056131885440676, 'Player 1 chose: 3': 0.019056131885440676, 'Player 1 chose: 2': 0.019056131885440676, 'Player 1 chose: 1': 0.019056131885440676, 'Player 1 chose: 0': 0.019056131885440676}"
"Current player: 0
Round: 3
Coin Player Choices: 4 5 
Estimator Guesses: 5 0 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 4 5 
Estimator Guesses: 5 0 ","{'Player 0 chose: 5': 0.6720722417007576, 'Player 0 chose: 0': 0.3279277582992423}"
"Current player: 1
Round: 3
Estimator Guesses: 5 0 
Coin Player Choices: 4 5 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 0 
Coin Player Choices: 4 5 ","{'Player 1 chose: 5': 0.3646272106804459, 'Player 1 chose: 4': 0.06768639465977702, 'Player 1 chose: 3': 0.06768639465977702, 'Player 1 chose: 2': 0.06768639465977702, 'Player 1 chose: 1': 0.06768639465977702, 'Player 1 chose: 0': 0.3646272106804459}"
"Current player: 0
Round: 3
Coin Player Choices: 4 5 
Estimator Guesses: 5 1 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 4 5 
Estimator Guesses: 5 1 ","{'Player 0 chose: 5': 0.5, 'Player 0 chose: 0': 0.5}"
"Current player: 1
Round: 3
Estimator Guesses: 5 1 
Coin Player Choices: 4 5 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 1 
Coin Player Choices: 4 5 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 4 5 
Estimator Guesses: 5 2 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 4 5 
Estimator Guesses: 5 2 ","{'Player 0 chose: 5': 0.5, 'Player 0 chose: 0': 0.5}"
"Current player: 1
Round: 3
Estimator Guesses: 5 2 
Coin Player Choices: 4 5 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 2 
Coin Player Choices: 4 5 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 4 5 
Estimator Guesses: 5 3 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 4 5 
Estimator Guesses: 5 3 ","{'Player 0 chose: 5': 0.5, 'Player 0 chose: 0': 0.5}"
"Current player: 1
Round: 3
Estimator Guesses: 5 3 
Coin Player Choices: 4 5 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 3 
Coin Player Choices: 4 5 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 4 5 
Estimator Guesses: 5 4 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 4 5 
Estimator Guesses: 5 4 ","{'Player 0 chose: 5': 0.5, 'Player 0 chose: 0': 0.5}"
"Current player: 1
Round: 3
Estimator Guesses: 5 4 
Coin Player Choices: 4 5 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 5 4 
Coin Player Choices: 4 5 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 2
Coin Player Choices: 5 
Estimator Guesses: 0 _depth_2",0,"Current player: 0
Round: 2
Coin Player Choices: 5 
Estimator Guesses: 0 ","{'Player 0 chose: 5': 0.7607667703602554, 'Player 0 chose: 0': 0.23923322963974467}"
"Current player: 1
Round: 2
Estimator Guesses: 0 
Coin Player Choices: 5 _depth_3",1,"Current player: 1
Round: 2
Estimator Guesses: 0 
Coin Player Choices: 5 ","{'Player 1 chose: 5': 0.9970940653951743, 'Player 1 chose: 4': 0.00043075392392854053, 'Player 1 chose: 3': 0.00043075392392854053, 'Player 1 chose: 2': 0.00043075392392854053, 'Player 1 chose: 1': 0.00043075392392854053, 'Player 1 chose: 0': 0.0011829189091114817}"
"Current player: 0
Round: 3
Coin Player Choices: 5 0 
Estimator Guesses: 0 1 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 5 0 
Estimator Guesses: 0 1 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 0 1 
Coin Player Choices: 5 0 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 0 1 
Coin Player Choices: 5 0 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 5 0 
Estimator Guesses: 0 2 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 5 0 
Estimator Guesses: 0 2 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 0 2 
Coin Player Choices: 5 0 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 0 2 
Coin Player Choices: 5 0 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 5 0 
Estimator Guesses: 0 3 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 5 0 
Estimator Guesses: 0 3 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 0 3 
Coin Player Choices: 5 0 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 0 3 
Coin Player Choices: 5 0 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 5 0 
Estimator Guesses: 0 4 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 5 0 
Estimator Guesses: 0 4 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 0 4 
Coin Player Choices: 5 0 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 0 4 
Coin Player Choices: 5 0 ","{'Player 1 chose: 5': 0.16666666666666666, 'Player 1 chose: 4': 0.16666666666666666, 'Player 1 chose: 3': 0.16666666666666666, 'Player 1 chose: 2': 0.16666666666666666, 'Player 1 chose: 1': 0.16666666666666666, 'Player 1 chose: 0': 0.16666666666666666}"
"Current player: 0
Round: 3
Coin Player Choices: 5 0 
Estimator Guesses: 0 5 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 5 0 
Estimator Guesses: 0 5 ",{'Player 0 chose: 5': 1.0}
"Current player: 1
Round: 3
Estimator Guesses: 0 5 
Coin Player Choices: 5 0 _depth_5",1,"Current player: 1
Round: 3
Estimator Guesses: 0 5 
Coin Player Choices: 5 0 ","{'Player 1 chose: 5': 0.9996399922377117, 'Player 1 chose: 4': 7.200155245764462e-05, 'Player 1 chose: 3': 7.200155245764462e-05, 'Player 1 chose: 2': 7.200155245764462e-05, 'Player 1 chose: 1': 7.200155245764462e-05, 'Player 1 chose: 0': 7.200155245764462e-05}"
"Current player: 0
Round: 3
Coin Player Choices: 5 5 
Estimator Guesses: 0 0 _depth_4",0,"Current player: 0
Round: 3
Coin Player Choices: 5 5 
Estimator Guesses: 0 0 ","{'Player 0 chose: 5': 0.6720722417007576, 'Player 0 chose: 0': 0.3279277582992423}"
